time,blue_cells,red_cells
5.73655,275,2
5.73686,276,2
5.73694,277,2
5.74074,278,2
5.74078,279,2
5.74267,280,2
5.74694,281,2
5.75379,282,2
5.75494,283,2
5.76405,284,2
5.76674,285,2
5.76774,286,2
5.77749,287,2
5.78288,288,2
5.78388,289,2
5.78433,290,2
5.79501,291,2
5.80276,292,2
5.80527,293,2
5.80618,294,2
5.80914,295,2
5.81087,296,2
5.81312,297,2
5.81561,297,3
5.81832,298,3
5.81872,299,3
5.81924,300,3
5.8222,301,3
5.82716,302,3
5.83103,303,3
5.83356,304,3
5.83377,305,3
5.83704,306,3
5.8393,307,3
5.84237,308,3
5.84349,309,3
5.8531,310,3
5.8616,311,3
5.87427,312,3
5.87632,313,3
5.87763,314,3
5.8808,315,3
5.88188,316,3
5.88868,317,3
5.88995,318,3
5.89278,319,3
5.89487,320,3
5.89546,321,3
5.89947,321,4
5.90029,322,4
5.90033,323,4
5.90103,324,4
5.90116,325,4
5.90304,326,4
5.90334,327,4
5.90487,328,4
5.90557,329,4
5.90611,330,4
5.91011,331,4
5.91109,332,4
5.91701,333,4
5.91997,334,4
5.9263,335,4
5.93052,336,4
5.93297,337,4
5.93459,338,4
5.94077,339,4
5.94422,340,4
5.94685,341,4
5.94747,342,4
5.9493,343,4
5.95233,344,4
5.95256,345,4
5.95577,345,5
5.95774,346,5
5.95897,347,5
5.95961,348,5
5.96113,349,5
5.96434,350,5
5.96456,351,5
5.96807,352,5
5.97133,353,5
5.97346,354,5
5.97544,355,5
5.97565,356,5
5.97823,357,5
5.98189,358,5
5.98921,359,5
5.99003,360,5
5.99267,361,5
5.99985,362,5
6.0013,363,5
6.00385,364,5
6.00583,365,5
6.0075,366,5
6.00787,367,5
6.00968,368,5
6.0118,369,5
6.01243,370,5
6.0233,371,5
6.02388,372,5
6.02744,373,5
6.02986,374,5
6.03188,375,5
6.03198,375,6
6.0399,376,6
6.04247,377,6
6.04529,378,6
6.04725,379,6
6.05541,380,6
6.05647,381,6
6.0587,382,6
6.06361,383,6
6.06761,384,6
6.06812,385,6
6.06934,386,6
6.07003,387,6
6.07137,388,6
6.07138,389,6
6.07539,390,6
6.08287,391,6
6.08591,392,6
6.08678,393,6
6.08686,394,6
6.08703,395,6
6.08831,396,6
6.09215,397,6
6.09328,398,6
6.09873,399,6
6.09878,399,7
6.10169,400,7
6.10221,400,8
6.11113,401,8
6.11263,402,8
6.11512,403,8
6.11561,404,8
6.1227,405,8
6.13186,406,8
6.13199,407,8
6.13471,408,8
6.13742,409,8
6.13894,410,8
6.14011,411,8
6.14148,412,8
6.14237,413,8
6.14492,414,8
6.14495,415,8
6.14508,416,8
6.149,417,8
6.15181,418,8
6.15272,419,8
6.15479,420,8
6.15499,421,8
6.15589,422,8
6.1574,423,8
6.16412,424,8
6.16453,425,8
6.1655,426,8
6.1667,427,8
6.16994,428,8
6.16999,429,8
6.17036,430,8
6.1713,431,8
6.17323,432,8
6.17438,433,8
6.17855,434,8
6.18277,435,8
6.18585,436,8
6.18625,437,8
6.18672,438,8
6.18966,439,8
6.19072,440,8
6.1936,441,8
6.1947,442,8
6.19991,443,8
6.20488,444,8
6.20576,445,8
6.20856,446,8
6.2133,447,8
6.21384,448,8
6.21814,449,8
6.22011,450,8
6.22283,451,8
6.2252,452,8
6.22557,453,8
6.22881,454,8
6.23027,455,8
6.231,456,8
6.23237,457,8
6.23576,458,8
6.23732,459,8
6.23907,460,8
6.24386,461,8
6.24507,462,8
6.25025,463,8
6.25052,464,8
6.25063,465,8
6.25089,466,8
6.25343,467,8
6.25776,468,8
6.25848,469,8
6.25965,470,8
6.26011,471,8
6.26102,472,8
6.26349,473,8
6.26366,474,8
6.26863,475,8
6.27708,476,8
6.27865,477,8
6.27984,478,8
6.28292,479,8
6.28329,480,8
6.28615,480,9
6.28619,481,9
6.28803,482,9
6.28961,482,10
6.29172,483,10
6.2933,484,10
6.29534,485,10
6.29664,486,10
6.2997,487,10
6.30032,488,10
6.30219,489,10
6.3023,490,10
6.30297,491,10
6.30347,492,10
6.30634,493,10
6.30723,494,10
6.31144,495,10
6.31553,496,10
6.31649,497,10
6.32493,498,10
6.32663,499,10
6.32735,500,10
6.33075,501,10
6.33263,502,10
6.33837,503,10
6.33859,504,10
6.34229,505,10
6.34577,506,10
6.34936,507,10
6.34981,508,10
6.35968,509,10
6.36169,510,10
6.37587,511,10
6.37706,512,10
6.38053,513,10
6.38272,514,10
6.38363,515,10
6.38389,516,10
6.38812,517,10
6.38916,518,10
6.39111,519,10
6.39174,520,10
6.39216,521,10
6.3925,522,10
6.39375,523,10
6.3938,524,10
6.39398,525,10
6.39768,526,10
6.39826,527,10
6.39855,528,10
6.39874,529,10
6.40051,530,10
6.40303,531,10
6.4071,532,10
6.40858,533,10
6.40919,534,10
6.41227,535,10
6.41267,536,10
6.41403,537,10
6.42134,538,10
6.42248,539,10
6.4242,540,10
6.42474,541,10
6.42761,542,10
6.42766,543,10
6.42784,544,10
6.42973,545,10
6.43188,546,10
6.43318,547,10
6.43338,548,10
6.43405,549,10
6.43426,550,10
6.43675,551,10
6.43684,552,10
6.43901,553,10
6.44127,553,11
6.44157,554,11
6.44275,555,11
6.44647,556,11
6.45497,557,11
6.45533,558,11
6.45575,559,11
6.4558,560,11
6.45648,561,11
6.45755,562,11
6.45776,563,11
6.45824,564,11
6.464,565,11
6.46506,566,11
6.4652,567,11
6.46704,568,11
6.46875,569,11
6.46966,570,11
6.4747,571,11
6.47648,572,11
6.4785,573,11
6.47855,574,11
6.47914,575,11
6.48003,576,11
6.48171,577,11
6.48397,578,11
6.48697,579,11
6.48738,580,11
6.48743,581,11
6.48775,582,11
6.48943,583,11
6.49076,584,11
6.49141,585,11
6.49154,586,11
6.49248,587,11
6.49389,587,12
6.49657,587,13
6.49824,588,13
6.49883,589,13
6.49905,590,13
6.49906,591,13
6.50066,592,13
6.50361,592,14
6.50655,593,14
6.50729,594,14
6.50784,595,14
6.51269,596,14
6.51622,597,14
6.51706,598,14
6.52297,599,14
6.52345,600,14
6.52585,601,14
6.52657,602,14
6.52755,603,14
6.52927,604,14
6.5305,605,14
6.53164,606,14
6.53175,607,14
6.53233,608,14
6.53272,609,14
6.53275,610,14
6.53792,611,14
6.5394,612,14
6.5409,613,14
6.54094,614,14
6.54197,615,14
6.54246,616,14
6.54822,617,14
6.54866,618,14
6.5507,619,14
6.5518,620,14
6.55251,621,14
6.55577,622,14
6.55583,623,14
6.55674,624,14
6.55936,625,14
6.56211,626,14
6.56266,627,14
6.56352,628,14
6.56354,629,14
6.56389,630,14
6.56542,631,14
6.56545,631,15
6.56591,632,15
6.56723,633,15
6.56942,634,15
6.5702,635,15
6.5712,636,15
6.57388,637,15
6.57571,638,15
6.57615,639,15
6.57632,640,15
6.57674,641,15
6.57924,642,15
6.58186,643,15
6.58377,644,15
6.58685,645,15
6.58763,646,15
6.58782,647,15
6.5903,648,15
6.59287,649,15
6.59406,650,15
6.59542,651,15
6.59619,652,15
6.59728,653,15
6.59776,654,15
6.59896,655,15
6.59972,656,15
6.6011,657,15
6.6029,658,15
6.6064,659,15
6.60745,660,15
6.60761,661,15
6.60793,662,15
6.61217,663,15
6.61343,664,15
6.61387,665,15
6.61676,666,15
6.61746,667,15
6.62228,668,15
6.62327,669,15
6.62331,670,15
6.62466,671,15
6.62612,672,15
6.62638,673,15
6.62741,674,15
6.62917,675,15
6.63165,676,15
6.6319,677,15
6.6321,678,15
6.63304,679,15
6.6334,680,15
6.6336,681,15
6.63375,682,15
6.63378,683,15
6.63495,684,15
6.63795,685,15
6.63818,686,15
6.64123,687,15
6.64153,688,15
6.64571,689,15
6.64784,689,16
6.64866,690,16
6.65083,691,16
6.65171,692,16
6.65354,693,16
6.65379,694,16
6.65392,695,16
6.65663,696,16
6.65947,697,16
6.66,698,16
6.6601,699,16
6.66054,700,16
6.66283,701,16
6.66375,702,16
6.66556,703,16
6.66599,704,16
6.67012,705,16
6.67094,706,16
6.67448,707,16
6.67499,708,16
6.6764,709,16
6.67773,710,16
6.67827,711,16
6.67884,712,16
6.68115,713,16
6.68152,714,16
6.68165,715,16
6.68452,716,16
6.68678,717,16
6.68732,718,16
6.68763,719,16
6.69132,720,16
6.69139,721,16
6.6922,722,16
6.69327,723,16
6.69393,724,16
6.69425,725,16
6.69509,726,16
6.69676,727,16
6.69706,728,16
6.69802,729,16
6.70195,730,16
6.7045,731,16
6.70479,732,16
6.70591,733,16
6.70652,734,16
6.70734,735,16
6.70786,736,16
6.70869,737,16
6.70987,738,16
6.71084,739,16
6.7111,740,16
6.71127,741,16
6.71257,742,16
6.71296,743,16
6.71371,744,16
6.71381,745,16
6.71424,746,16
6.71791,747,16
6.72039,748,16
6.72141,749,16
6.72176,750,16
6.72176,751,16
6.72195,752,16
6.72247,753,16
6.72416,754,16
6.72461,755,16
6.72466,756,16
6.72542,757,16
6.72708,758,16
6.73274,758,17
6.73482,759,17
6.7349,760,17
6.73608,761,17
6.73614,762,17
6.73783,763,17
6.73821,764,17
6.73955,765,17
6.74069,766,17
6.74077,767,17
6.74134,768,17
6.74418,769,17
6.74458,770,17
6.75071,771,17
6.75101,772,17
6.75346,773,17
6.75552,774,17
6.7557,775,17
6.75613,776,17
6.76079,777,17
6.76121,778,17
6.76204,779,17
6.76213,780,17
6.76256,781,17
6.76365,782,17
6.76514,783,17
6.76539,784,17
6.76815,785,17
6.76887,786,17
6.772,787,17
6.77451,788,17
6.7756,789,17
6.77688,790,17
6.77896,791,17
6.77926,792,17
6.77943,793,17
6.78071,794,17
6.78343,795,17
6.78363,796,17
6.78569,797,17
6.78576,797,18
6.78637,798,18
6.78696,799,18
6.78914,800,18
6.79007,801,18
6.79344,802,18
